number,kernel,category,reference_path,status
1,relu,activation,reference/activation/relu.py,existing
2,sigmoid,activation,reference/activation/sigmoid.py,existing
3,hardsigmoid,activation,reference/activation/hardsigmoid.py,existing
4,elu,activation,reference/activation/elu.py,existing
5,gelu,activation,reference/activation/gelu.py,existing
6,swish,activation,reference/activation/swish.py,existing
7,layer_norm,normalization,reference/normalization/layer_norm.py,existing
8,group_norm,normalization,reference/normalization/group_norm.py,existing
9,gather,index,reference/index/gather.py,existing
10,scatter,index,reference/index/scatter.py,existing
11,cumsum,math,reference/math/cumsum.py,existing
12,lstm,arch,reference/arch/lstm.py,existing
13,standard_matrix_multiplication,matmul,reference/matmul/standard_matrix_multiplication.py,new
14,batched_matrix_multiplication,matmul,reference/matmul/batched_matrix_multiplication.py,new
15,matmul_with_small_k_dimension,matmul,reference/matmul/matmul_with_small_k_dimension.py,new
16,matmul_with_irregular_shapes,matmul,reference/matmul/matmul_with_irregular_shapes.py,new
17,matmul_with_transposed_b,matmul,reference/matmul/matmul_with_transposed_b.py,new
18,matmul_with_diagonal_matrices,matmul,reference/matmul/matmul_with_diagonal_matrices.py,new
19,matrix_vector_multiplication,matmul,reference/matmul/matrix_vector_multiplication.py,new
20,causal_attention,attention,reference/attention/causal_attention.py,new
21,scaled_dot_product_attention,attention,reference/attention/scaled_dot_product_attention.py,new
22,multi_head_attention,attention,reference/attention/multi_head_attention.py,new
23,group_query_attention,attention,reference/attention/group_query_attention.py,new
24,kv_cached_attention_inference,attention,reference/attention/kv_cached_attention_inference.py,new
25,sparse_attention,attention,reference/attention/sparse_attention.py,new
26,sum_reduction_over_a_dimension,reduce,reference/reduce/sum_reduction_over_a_dimension.py,new
27,max_reduction_over_a_dimension,reduce,reference/reduce/max_reduction_over_a_dimension.py,new
28,mean_reduction_over_a_dimension,reduce,reference/reduce/mean_reduction_over_a_dimension.py,new
29,rms_norm,normalization,reference/normalization/rms_norm.py,new
30,batch_norm,normalization,reference/normalization/batch_norm.py,new
31,conv_standard_2d_square_input_square_kernel,convolution,reference/convolution/conv_standard_2d_square_input_square_kernel.py,new
32,conv_standard_2d_asymmetric_input_asymmetric_kernel,convolution,reference/convolution/conv_standard_2d_asymmetric_input_asymmetric_kernel.py,new
33,conv_depthwise_2d_square_input_square_kernel,convolution,reference/convolution/conv_depthwise_2d_square_input_square_kernel.py,new
34,conv_depthwise_separable_2d,convolution,reference/convolution/conv_depthwise_separable_2d.py,new
35,conv_pointwise_2d,convolution,reference/convolution/conv_pointwise_2d.py,new
36,conv_transposed_2d_square_input_square_kernel,convolution,reference/convolution/conv_transposed_2d_square_input_square_kernel.py,new
37,gemm_add_relu,fuse,reference/fuse/gemm_add_relu.py,new
38,matmul_gelu_softmax,fuse,reference/fuse/matmul_gelu_softmax.py,new
39,scatter_add,index,reference/index/scatter_add.py,new
40,grid_sample_affine,resize,reference/resize/grid_sample_affine.py,new
