op,dsl,committed_speedup,seed_results_md,rebench,method
relu,triton,1.0000,1.0000,1.0063,concurrent(ratio-robust)  capped@seed
relu,cuda_noptx,0.9938,0.9938,0.9938,concurrent(ratio-robust)
relu,cuda_unlimited,1.0000,1.0000,1.0000,concurrent(ratio-robust)
relu,tilelang,1.0256,1.0323,1.0256,concurrent(ratio-robust)
sigmoid,triton,1.0125,1.0190,1.0125,concurrent(ratio-robust)
sigmoid,cuda_noptx,1.0062,1.0063,1.0062,concurrent(ratio-robust)
sigmoid,cuda_unlimited,1.0062,1.0063,1.0062,concurrent(ratio-robust)
sigmoid,tilelang,1.0000,1.0000,1.0000,concurrent(ratio-robust)
hardsigmoid,triton,1.0063,1.0127,1.0063,concurrent(ratio-robust)
hardsigmoid,cuda_noptx,0.9938,0.9938,0.9938,concurrent(ratio-robust)
hardsigmoid,cuda_unlimited,1.0000,1.0000,1.0000,concurrent(ratio-robust)
hardsigmoid,tilelang,0.9877,0.9877,0.9938,concurrent(ratio-robust)  capped@seed
elu,triton,0.9938,0.9938,1.0063,concurrent(ratio-robust)  capped@seed
elu,cuda_noptx,1.0000,1.0000,1.0000,concurrent(ratio-robust)
elu,cuda_unlimited,1.0000,1.0000,1.0000,concurrent(ratio-robust)
elu,tilelang,1.0256,1.0256,1.0256,concurrent(ratio-robust)
gelu,triton,1.0063,1.0063,1.0063,concurrent(ratio-robust)
gelu,cuda_noptx,1.0000,1.0000,1.0000,concurrent(ratio-robust)
gelu,cuda_unlimited,1.0000,1.0000,1.0062,concurrent(ratio-robust)  capped@seed
gelu,tilelang,1.0323,1.0323,1.0323,concurrent(ratio-robust)
swish,triton,2.4625,2.5253,2.4625,serial-gpu3
swish,cuda_noptx,2.4472,2.4472,2.4472,serial-gpu3
swish,cuda_unlimited,2.5256,2.5256,2.5256,serial-gpu3
swish,tilelang,2.4321,2.4321,2.4321,serial-gpu3
layer_norm,triton,2.1655,2.1729,2.1655,serial-gpu3 (redo6op cross-dsl; min-capped)
layer_norm,cuda_noptx,2.1549,2.1549,2.1549,serial-gpu3 (redo6op cross-dsl; was 1.95 P2)
layer_norm,cuda_unlimited,2.2857,2.2857,2.2857,serial-gpu3 (redo6op cross-dsl)
layer_norm,tilelang,2.1884,2.1918,2.1884,serial-gpu3 (redo6op cross-dsl; min-capped)
group_norm,triton,1.3294,1.3537,1.3294,serial-gpu3
group_norm,cuda_noptx,1.2863,1.2863,1.2863,serial-gpu3 (promoted P2 lever)
group_norm,cuda_unlimited,1.2810,1.2810,1.2810,serial-gpu3
group_norm,tilelang,1.3234,1.3234,1.3248,serial-gpu3  capped@seed
gather,triton,1.4961,1.5000,1.4961,serial-gpu3
gather,cuda_noptx,1.3267,1.3267,1.3366,serial-gpu3  capped@seed
gather,cuda_unlimited,1.4807,1.5084,1.4807,serial-gpu3
gather,tilelang,1.3058,1.3107,1.3058,serial-gpu3
scatter,triton,6.7925,6.7925,10.4192,serial-gpu3  capped@seed
scatter,cuda_noptx,10.6471,10.6471,10.6471,serial-gpu3 (promoted P2 lever)
scatter,cuda_unlimited,10.0000,10.0000,10.5848,serial-gpu3  capped@seed
scatter,tilelang,7.6339,7.6339,8.1250,serial-gpu3  capped@seed
cumsum,triton,1.2264,1.2264,1.3945,serial-gpu3  capped@seed
cumsum,cuda_noptx,1.2037,1.2130,1.2037,serial-gpu3
cumsum,cuda_unlimited,1.2404,1.2404,1.2500,serial-gpu3  capped@seed
cumsum,tilelang,1.1944,1.1944,1.1944,serial-gpu3
lstm,triton,1.0000,1.0000,1.0113,concurrent(ratio-robust)  capped@seed
lstm,cuda_noptx,1.0000,1.0000,1.0112,concurrent(ratio-robust)  capped@seed
lstm,cuda_unlimited,0.9742,0.9742,1.0056,concurrent(ratio-robust)  capped@seed
lstm,tilelang,0.9796,0.9869,0.9796,concurrent(ratio-robust)
